GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,BoardView,26,707,14,126,5,140,12,75,0,17
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Row.new Iterator() {...},33,0,2,0,7,0,4,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Space.COLOR,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Piece.color,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Row,8,59,0,0,2,15,2,5,2,5
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Piece,0,33,0,0,0,11,0,6,0,6
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Space,2,93,1,9,1,33,1,13,0,9
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,Piece.type,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model.Board,BoardView.new Iterator() {...},27,6,2,0,6,1,3,1,2,1
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSpectatorGame,59,34,0,0,10,11,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostBackupMove,0,68,0,2,0,18,0,4,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetGameRoute,57,398,2,18,11,85,2,11,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,27,104,7,7,5,24,5,5,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,WebServer,0,145,0,0,0,25,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSpectatorCheckTurn,57,28,4,0,12,9,2,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSigninRoute,0,149,0,8,0,31,0,7,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSigninRoute,0,46,0,0,0,11,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostValidateMove,0,68,2,2,0,19,2,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSignoutRoute,0,38,0,0,0,12,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostResignGameRoute,0,54,0,0,0,14,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostCheckTurn,0,81,0,4,0,20,0,5,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSubmitTurn,0,44,0,0,0,13,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSpectatorStopWatching,0,52,0,0,0,13,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Position,0,15,0,0,0,6,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Game.Win,0,34,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Move,0,46,0,0,0,9,0,4,0,4
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Player,4,45,0,0,2,18,1,10,1,10
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Player.currentState,0,34,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model,AIPlayer,52,48,8,6,14,13,7,2,0,2
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Game,38,441,9,37,10,115,10,45,1,31
WebCheckers Application Tier Test Coverage,com.webcheckers.model,MoveValidator,71,1409,62,220,14,280,54,114,0,27
WebCheckers Application Tier Test Coverage,com.webcheckers.model,PlayerColor,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.application,GameLobby,16,71,0,0,5,19,1,6,1,6
WebCheckers Application Tier Test Coverage,com.webcheckers.application,Message.Type,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.application,PlayerLobby,6,96,2,10,2,25,2,13,0,9
WebCheckers Application Tier Test Coverage,com.webcheckers.application,Message,15,53,2,0,2,10,3,6,2,6
WebCheckers Application Tier Test Coverage,com.webcheckers,viewMode,0,34,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers,Application,132,0,4,0,39,0,8,0,6,0
